ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603815.SH,20200110,17.48,17.48,17.15,17.26,17.35,-0.09,-0.5187,44858.0,77813.425
603815.SH,20200109,17.31,17.55,17.19,17.35,17.17,0.18,1.0483,37443.6,64832.757
603815.SH,20200108,17.39,17.66,17.11,17.17,17.52,-0.35,-1.9977,59192.7,102832.88
603815.SH,20200107,17.41,17.75,17.4,17.52,17.47,0.05,0.2862,52333.97,91861.164
603815.SH,20200106,17.35,17.56,17.1,17.47,17.67,-0.2,-1.1319,58894.79,102130.936
603815.SH,20200103,17.91,17.91,17.56,17.67,18.0,-0.33,-1.8333,76825.92,136086.129
603815.SH,20200102,17.4,18.1,17.33,18.0,17.37,0.63,3.6269,94866.67,169338.5
603815.SH,20191231,17.4,17.68,16.9,17.37,17.3,0.07,0.4046,76580.68,132136.675
603815.SH,20191230,18.06,18.25,16.61,17.3,18.45,-1.15,-6.2331,84704.81,147082.957
603815.SH,20191227,18.21,18.88,18.06,18.45,18.24,0.21,1.1513,99817.51,184287.831
603815.SH,20191226,18.07,18.48,18.05,18.24,17.97,0.27,1.5025,74089.9,135321.089
603815.SH,20191225,18.2,18.25,17.83,17.97,18.23,-0.26,-1.4262,49922.64,89802.391
603815.SH,20191224,18.25,18.26,17.75,18.23,18.05,0.18,0.9972,76821.05,138104.079
603815.SH,20191223,18.37,18.73,17.98,18.05,18.37,-0.32,-1.742,68254.54,125488.533
603815.SH,20191220,19.22,19.39,18.31,18.37,19.4,-1.03,-5.3093,129098.91,242555.749
603815.SH,20191219,19.4,19.7,19.21,19.4,19.39,0.01,0.0516,98670.34,191656.963
603815.SH,20191218,19.56,19.78,19.34,19.39,19.66,-0.27,-1.3733,100488.77,196553.122
603815.SH,20191217,19.39,19.99,19.3,19.66,19.51,0.15,0.7688,128223.24,252156.179
603815.SH,20191216,19.3,19.55,19.08,19.51,19.35,0.16,0.8269,94246.87,182468.615
603815.SH,20191213,19.5,19.53,19.06,19.35,19.28,0.07,0.3631,97890.98,188935.915
603815.SH,20191212,19.94,19.94,19.13,19.28,20.27,-0.99,-4.8841,159239.72,309879.017
603815.SH,20191211,20.59,21.11,20.27,20.27,20.75,-0.48,-2.3133,160302.09,332667.805
603815.SH,20191210,21.35,21.48,20.44,20.75,21.25,-0.5,-2.3529,170922.78,356565.987
603815.SH,20191209,21.21,21.74,20.69,21.25,21.6,-0.35,-1.6204,158246.53,335649.815
603815.SH,20191206,22.26,22.57,21.59,21.6,22.26,-0.66,-2.965,199882.99,440030.408
603815.SH,20191205,21.76,22.68,21.45,22.26,21.88,0.38,1.7367,206796.28,454731.846
603815.SH,20191204,22.5,22.8,21.86,21.88,22.3,-0.42,-1.8834,204405.81,452635.817
603815.SH,20191203,20.69,22.75,20.69,22.3,21.39,0.91,4.2543,248691.94,546329.547
603815.SH,20191202,21.8,22.2,20.9,21.39,21.68,-0.29,-1.3376,172300.88,369265.229
603815.SH,20191129,20.61,21.99,20.33,21.68,21.23,0.45,2.1196,229737.25,487157.566
603815.SH,20191128,20.98,22.1,20.68,21.23,20.81,0.42,2.0183,237532.74,510089.093
603815.SH,20191127,19.45,21.46,18.9,20.81,20.33,0.48,2.361,216959.02,433834.722
603815.SH,20191126,21.86,22.0,20.33,20.33,22.59,-2.26,-10.0044,183106.47,380275.927
603815.SH,20191125,21.13,23.4,20.7,22.59,21.75,0.84,3.8621,274065.51,611762.973
603815.SH,20191122,20.52,22.4,20.03,21.75,20.7,1.05,5.0725,263238.51,557905.558
603815.SH,20191121,19.47,21.3,18.88,20.7,19.52,1.18,6.0451,216886.17,431842.681
603815.SH,20191120,20.08,20.77,19.36,19.52,20.34,-0.82,-4.0315,181908.84,361875.649
603815.SH,20191119,19.35,20.67,19.22,20.34,19.88,0.46,2.3139,247222.86,499412.748
603815.SH,20191118,19.0,19.97,18.26,19.88,19.59,0.29,1.4803,231157.18,436443.827
603815.SH,20191115,20.0,20.6,19.59,19.59,21.77,-2.18,-10.0138,264487.46,528913.323
603815.SH,20191114,23.78,24.31,21.7,21.77,22.1,-0.33,-1.4932,420092.8,990533.658
603815.SH,20191113,19.79,22.1,19.65,22.1,20.09,2.01,10.005,163292.66,349650.127
603815.SH,20191112,19.03,21.15,18.84,20.09,19.23,0.86,4.4722,302865.87,609324.63
603815.SH,20191111,19.01,19.75,18.5,19.23,20.05,-0.82,-4.0898,263958.12,504628.821
603815.SH,20191108,18.32,20.05,18.02,20.05,18.23,1.82,9.9835,235197.14,451444.363
603815.SH,20191107,17.81,18.46,17.53,18.23,18.45,-0.22,-1.1924,194592.19,351870.978
603815.SH,20191106,19.11,19.92,17.65,18.45,19.19,-0.74,-3.8562,269704.75,505432.507
603815.SH,20191105,17.8,19.2,17.59,19.19,19.1,0.09,0.4712,319731.01,585441.242
603815.SH,20191104,18.58,19.2,17.8,19.1,17.45,1.65,9.4556,303118.8,568500.533
603815.SH,20191101,17.45,17.45,16.77,17.45,15.86,1.59,10.0252,236345.96,411417.061
603815.SH,20191031,15.86,15.86,15.86,15.86,14.42,1.44,9.9861,12615.35,20007.945
603815.SH,20191030,14.42,14.42,14.42,14.42,13.11,1.31,9.9924,6616.78,9541.397
603815.SH,20191029,13.11,13.11,13.11,13.11,11.92,1.19,9.9832,9595.73,12580.002
603815.SH,20191028,11.92,11.92,11.92,11.92,10.84,1.08,9.9631,15045.66,17934.427
603815.SH,20191025,10.84,10.84,10.84,10.84,9.85,0.99,10.0508,5515.35,5978.639
603815.SH,20191024,9.85,9.85,9.85,9.85,8.95,0.9,10.0559,1456.51,1434.662
603815.SH,20191023,8.95,8.95,8.95,8.95,8.14,0.81,9.9509,845.68,756.884
603815.SH,20191022,8.14,8.14,8.14,8.14,7.4,0.74,10.0,509.33,414.595
